C.C.,CSV Receivable,DB Calculated Total,Match,Difference,PAID Count,ISSUED Count,NOT_ISSUED Count,PARTIALLY_PAID Count,DISCOUNT Count,UNKNOWN Count,Details
4587,15975,15975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15975)"
4710,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
4708,14995,14995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14995)"
4859,71900,71900,MATCH,0,0,3,1,0,0,0,"NOT_ISSUED(+17975) | ISSUED(+17975) | ISSUED(+17975) | ISSUED(+17975)"
4848,15975,15975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15975)"
4914,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
5116,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
5543,15975,15975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+15975)"
6234,16975,16975,MATCH,0,4,0,1,0,0,0,"NOT_ISSUED(+16975)"
6744,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
7180,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
7294,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
7325,37950,37950,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+18975) | ISSUED(+18975)"
7339,15000,15000,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+15000)"
7735,20575,20575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+20575)"
7741,18575,18575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18575)"
4456,36950,35950,MISMATCH,-1000,1,1,1,0,0,0,"NOT_ISSUED(+17975) | ISSUED(+17975)"
4471,15975,31950,MISMATCH,15975,1,1,1,0,0,0,"ISSUED(+15975) | NOT_ISSUED(+15975)"
4475,31950,31950,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+15975) | ISSUED(+15975)"
4533,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
4574,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
4588,15975,15975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15975)"
4613,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
4623,16975,16975,MATCH,0,4,0,1,0,0,0,"NOT_ISSUED(+16975)"
4806,48175,48175,MATCH,0,1,1,1,1,0,0,"NOT_ISSUED(+16975) | ISSUED(+16975) | PARTIALLY_PAID(+14225)"
4837,15106,15106,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15106)"
4899,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
4961,16975,15975,MISMATCH,-1000,2,0,1,0,0,0,"NOT_ISSUED(+15975)"
4997,13832,13832,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+13832)"
5051,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
5115,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
5189,15975,15975,MATCH,0,4,0,1,0,0,0,"NOT_ISSUED(+15975)"
5363,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
5801,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
6258,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
6641,35950,35950,MATCH,0,2,1,1,0,0,0,"NOT_ISSUED(+17975) | ISSUED(+17975)"
4561,68955,33950,MISMATCH,-35005,1,1,1,0,0,0,"NOT_ISSUED(+16975) | ISSUED(+16975)"
4607,18975,18975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+18975)"
4971,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
5010,14975,14975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+14975)"
5119,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
5846,20144,16245,MISMATCH,-3899,2,0,1,0,0,0,"NOT_ISSUED(+16245)"
5724,15075,15075,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15075)"
7104,13975,13975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+13975)"
7264,19975,19975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19975)"
7284,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
7648,18575,18575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18575)"
7704,15575,15575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15575)"
7718,20575,20575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+20575)"
4359,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
4401,17975,17975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+17975)"
4444,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
4469,105700,70700,MISMATCH,-35000,2,3,1,0,0,0,"ISSUED(+16775) | ISSUED(+17975) | NOT_ISSUED(+17975) | ISSUED(+17975)"
4534,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
4578,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
4612,17975,17975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+17975)"
4735,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
4770,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
4938,21570,21570,MATCH,0,4,0,1,0,0,0,"NOT_ISSUED(+21570)"
4962,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
5304,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
5375,18975,17975,MISMATCH,-1000,5,0,1,0,0,0,"NOT_ISSUED(+17975)"
5416,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
5752,22975,22975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+22975)"
5782,17975,17975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+17975)"
6278,35950,35950,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+17975) | ISSUED(+17975)"
6587,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
6705,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
6711,39950,39950,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+19975) | ISSUED(+19975)"
7100,313510,139825,MISMATCH,-173685,0,3,4,0,0,0,"NOT_ISSUED(+19975) | NOT_ISSUED(+19975) | NOT_ISSUED(+19975) | NOT_ISSUED(+19975) | ISSUED(+19975) | ISSUED(+19975) | ISSUED(+19975)"
7238,20975,20975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+20975)"
7242,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
7256,21975,21975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+21975)"
7338,15000,15000,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+15000)"
7509,18975,18975,MATCH,0,4,0,1,0,0,0,"NOT_ISSUED(+18975)"
7587,19575,19575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19575)"
7601,19575,19575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19575)"
7674,19575,19575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19575)"
7679,19575,19575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19575)"
4020,35950,35950,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+17975) | ISSUED(+17975)"
4289,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
4296,15975,15975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15975)"
4449,67900,67900,MATCH,0,0,3,1,0,0,0,"NOT_ISSUED(+16975) | ISSUED(+16975) | ISSUED(+16975) | ISSUED(+16975)"
4468,71900,71900,MATCH,0,0,3,1,0,0,0,"NOT_ISSUED(+17975) | ISSUED(+17975) | ISSUED(+17975) | ISSUED(+17975)"
4584,18975,17975,MISMATCH,-1000,3,0,1,0,0,0,"NOT_ISSUED(+17975)"
4711,17975,17975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+17975)"
4728,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
4768,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
4773,17975,17975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+17975)"
4785,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
